"Type","Description"
"Error","E21018: Enhanced Mobi building failure, while parsing content in the file. Content: <img> in file: /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/381.html line: 142","","","",""
"Notice","W14010: media file not found  /towers.png","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/521.html","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/1121.html","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/releaf.site/sites/default/files/styles/large/public/img/IMG_7609.jpeg?itok=mlh4rfHb","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/releaf.site/sites/default/files/styles/large/public/img/IMG_7658.jpeg?itok=ffSTvChG","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/128.html","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/releaf.site/sites/default/files/img/IMG_7175_Original.jpeg","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/https:/releaf.site/sites/default/files/styles/dalle/public/img/IMG_7175_Original.jpeg?itok=ySYx5nWz","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/mTemp/mobi-xzbQpM/sites/default/files/img/DALL·E 2023-06-13 07.09.30 - SolarPunk style Biomimicry & Fractals_ Magic for Plants. people of all ages walk near verdant towers.png","","","",""
"Notice","W14010: media file not found  /private/var/folders/26/56bpwjwj1jjdf17jfbmxt1d80000gp/T/5c3e734a-6dc2-4863-8b64-f62ebded4e7d/cTemp/sites/default/files/img/IMG_0027.jpg","","","",""
